Obs	HORAS_CONSUMO_STREAMING	GASTO_STREAMING
17892	9.78	 $391.27 
17893	15.65	 $548.97 
17894	13.76	 $327.62 
17895	8.34	 $257.90 
17896	13.97	 $462.52 
17897	13.98	 $430.21 
17898	17.51	" $1,152.52 "
17899	16.68	 $923.10 
17900	12.46	 $434.45 
17901	18.62	 $638.25 
17902	18.26	 $435.29 
17903	16.17	 $918.09 
17904	12.71	 $465.09 
17905	14.04	 $754.20 
17906	13.66	 $488.29 
17907	12.6	 $401.46 
17908	17.41	 $375.09 
17909	16.24	 $569.84 
17910	14.69	 $775.55 
17911	13.68	 $571.00 
17912	7.9	 $303.18 
17913	12.13	 $414.24 
17914	13.65	 $717.95 
17915	15.43	 $802.67 
17916	9.44	 $512.34 
17917	15.38	 $720.11 
17918	16.67	 $690.55 
17919	7.53	 $548.47 
17920	11.41	 $653.64 
17921	9.41	 $331.85 
17922	14.23	 $644.27 
17923	12.46	 $324.99 
17924	8.95	 $411.23 
17925	12.45	 $558.89 
17926	15.37	 $517.56 
17927	11.35	 $506.07 
17928	10.89	 $435.18 
17929	16.64	 $497.18 
17930	5.01	 $400.26 
17931	13.01	 $434.49 
17932	10.67	 $540.48 
17933	12.4	 $626.26 
17934	12.88	 $644.41 
17935	11.06	 $402.93 
17936	13.06	 $594.19 
17937	17.02	 $393.86 
17938	13.38	 $629.58 
17939	10.06	 $276.75 
17940	14.36	 $487.13 
17941	15.99	 $583.36 
17942	14.37	 $460.32 
17943	16.09	 $773.83 
17944	13.11	 $486.28 
17945	15.57	 $670.73 
17946	14.93	" $1,104.74 "
17947	13.1	 $461.17 
17948	15.29	 $533.37 
17949	8.59	 $436.54 
17950	11.14	 $574.44 
17951	14.24	 $381.57 
17952	9.27	 $405.10 
17953	9.33	 $148.83 
17954	16.1	" $1,062.34 "
17955	15.35	 $265.14 
17956	17.19	 $645.98 
17957	12.37	 $825.38 
17958	20.41	" $1,066.16 "
17959	17.22	 $422.94 
17960	4.14	 $256.91 
17961	12.31	 $439.42 
17962	13.31	 $429.83 
17963	11.21	 $859.03 
17964	14.92	" $1,096.22 "
17965	7.62	 $629.40 
17966	13.6	 $447.85 
17967	8.3	 $524.48 
17968	11.63	 $488.80 
17969	11.55	 $478.59 
17970	12.03	 $667.53 
17971	13.81	 $284.12 
17972	16.4	" $1,113.32 "
17973	18.59	" $1,147.91 "
17974	8.91	 $371.42 
17975	11.35	 $791.01 
17976	10.9	 $524.87 
17977	16.2	 $795.27 
17978	18.43	 $739.53 
17979	11.97	 $304.02 
17980	11.1	 $401.80 
17981	9.39	 $488.83 
17982	12.76	 $326.81 
17983	13.3	 $494.79 
17984	12.48	 $478.53 
17985	14.12	 $552.47 
17986	14.6	 $499.65 
17987	17.18	 $760.40 
17988	13.07	 $497.43 
17989	10.65	 $648.49 
17990	13.33	 $822.50 
17991	9.82	 $474.36 
17992	18.01	 $609.99 
17993	4.09	 $296.01 
17994	9.9	" $1,034.88 "
17995	8.28	 $357.95 
17996	17.76	 $502.35 
17997	13.21	 $338.50 
17998	13.73	 $873.67 
17999	8.63	 $196.74 
18000	13.62	 $442.30 
18001	15.89	 $448.79 
18002	12.41	" $1,025.21 "
18003	11.59	 $344.35 
18004	17.6	 $637.65 
18005	16.57	 $505.19 
18006	13.28	 $612.24 
18007	13.44	 $460.38 
18008	13.69	 $706.63 
18009	10.85	 $665.73 
18010	11.95	 $778.96 
18011	12.31	 $363.79 
18012	19.53	" $1,010.53 "
18013	15.98	 $495.26 
18014	10.19	 $502.63 
18015	13.74	 $795.65 
18016	8.66	 $364.15 
18017	14.42	 $425.58 
18018	16.65	 $615.59 
18019	16.63	 $255.18 
18020	9.89	 $356.88 
18021	6.86	 $765.29 
18022	10.2	 $471.96 
18023	8.74	 $628.49 
18024	15.02	 $527.05 
18025	14.81	 $882.50 
18026	15.61	" $1,523.61 "
18027	15.85	 $347.92 
18028	11.93	 $427.98 
18029	15.1	 $684.36 
18030	11.81	 $217.79 
18031	10.41	 $388.74 
18032	7.54	 $319.77 
18033	8.41	 $291.43 
18034	17.26	 $313.12 
18035	13.68	 $400.16 
18036	10.19	 $270.07 
18037	11.02	 $804.72 
18038	14.53	 $608.16 
18039	13.47	 $420.94 
18040	14.38	 $626.61 
18041	8.64	 $829.01 
18042	12.62	 $497.78 
18043	12.52	 $579.69 
18044	14.55	 $656.88 
18045	10.07	 $597.92 
18046	12.11	 $695.45 
18047	14.59	 $728.01 
18048	12.18	 $308.14 
18049	16.8	 $539.95 
18050	10.6	 $297.27 
18051	11.33	 $305.28 
18052	7.65	 $234.28 
18053	12.44	 $582.96 
18054	13.78	 $458.88 
18055	12.75	 $618.52 
18056	8.16	 $460.14 
18057	13.44	 $757.66 
18058	9.06	 $466.25 
18059	2.12	 $408.64 
18060	13.93	 $452.74 
18061	10.12	 $461.67 
18062	10.46	 $798.11 
18063	15.68	 $677.21 
18064	16.72	 $316.84 
18065	10.09	 $767.35 
18066	9.64	 $424.38 
18067	20.06	 $679.94 
18068	20.15	" $1,043.76 "
18069	15.72	 $639.76 
18070	15.45	 $416.62 
18071	4.69	 $332.29 
18072	14.53	 $543.67 
18073	14.94	 $493.10 
18074	15.54	 $367.04 
18075	17.13	 $561.59 
18076	10.11	 $333.17 
18077	13.09	 $309.93 
18078	10.05	 $291.26 
18079	9.4	 $646.61 
18080	12.32	 $586.01 
18081	5.36	 $377.75 
18082	8.86	 $719.21 
18083	12.99	 $247.88 
18084	13.14	 $739.23 
18085	14.31	 $271.00 
18086	17.33	 $681.45 
18087	15.03	 $544.13 
18088	18.97	 $555.32 
18089	12.39	 $466.66 
18090	11.96	 $453.88 
18091	12.81	 $567.97 
18092	11.08	 $501.53 
18093	8.01	 $334.37 
18094	13.2	 $535.24 
18095	19.09	 $312.83 
18096	14.62	 $541.73 
18097	18.31	 $442.22 
18098	4.71	 $378.03 
18099	11.62	" $1,167.23 "
18100	7.74	 $612.83 
18101	10.45	 $328.03 
18102	10.03	 $462.17 
18103	14.18	 $689.76 
18104	14.34	 $535.53 
18105	13.61	 $621.03 
18106	9.97	 $289.43 
18107	7.62	 $650.47 
18108	12.95	 $262.76 
18109	9.84	 $442.72 
18110	18.04	 $463.00 
18111	14.56	 $508.60 
18112	12.99	 $500.75 
18113	8.89	 $344.24 
18114	15.14	" $1,424.27 "
18115	10.86	 $645.33 
18116	10.52	 $752.61 
18117	14.3	 $502.72 
18118	11.27	 $277.70 
18119	19.99	 $341.77 
18120	12.91	 $359.24 
18121	8.1	 $389.24 
18122	7.02	 $259.57 
18123	13.16	 $406.49 
18124	15.01	 $602.29 
18125	14.42	 $378.53 
18126	9.52	 $457.38 
18127	11.65	 $387.23 
18128	13.53	 $342.90 
18129	14.56	" $1,013.39 "
18130	8.87	 $407.08 
18131	12.7	 $242.04 
18132	12.41	 $481.89 
18133	14.48	 $763.37 
18134	9.88	 $399.84 
18135	11.03	 $383.06 
18136	15.04	 $751.18 
18137	13.28	 $857.25 
18138	11.19	" $1,277.40 "
18139	10.34	 $417.96 
18140	10.96	 $478.76 
18141	11.42	 $466.89 
18142	11.63	 $467.66 
18143	12.44	 $830.52 
18144	17.79	 $256.56 
18145	13.31	 $292.76 
18146	14.72	 $416.33 
18147	14.73	 $837.91 
18148	17.04	 $685.63 
18149	9.05	 $487.31 
18150	21.37	" $1,522.25 "
18151	9.43	 $453.26 
18152	10.7	 $278.79 
18153	12.41	 $454.04 
18154	17.84	 $576.17 
18155	19.1	 $551.90 
18156	11.63	 $302.45 
18157	10.27	 $699.88 
18158	11.86	 $466.32 
18159	12.81	 $457.53 
18160	14.31	 $349.44 
18161	12.53	 $462.81 
18162	4.31	 $237.25 
18163	13.17	 $807.43 
18164	9.45	 $229.98 
18165	9.79	 $327.68 
18166	8.21	 $420.42 
18167	9.27	 $308.92 
18168	8.19	 $298.07 
18169	10.41	 $531.68 
18170	15.25	 $795.34 
18171	13.01	 $451.49 
18172	12.12	 $298.26 
18173	5.15	 $536.86 
18174	8.74	 $961.70 
18175	13.45	 $427.02 
18176	12.48	 $871.49 
18177	10.53	 $667.44 
18178	11.4	 $481.31 
18179	15.34	 $224.93 
18180	10.76	 $317.03 
18181	10.66	 $561.16 
18182	10.67	 $950.63 
18183	11.6	 $340.06 
18184	11.64	 $180.46 
18185	15.91	 $645.69 
18186	7.54	 $683.16 
18187	15.68	 $454.98 
18188	13.74	 $600.35 
18189	14.73	 $565.98 
18190	8.34	 $476.44 
18191	15.45	 $305.52 
18192	14.11	 $801.23 
18193	13.85	 $194.13 
18194	20.82	 $397.35 
18195	12	 $374.71 
18196	10.55	 $309.52 
18197	13.78	 $365.76 
18198	16.09	 $643.69 
18199	11.65	 $484.82 
18200	9.32	 $306.28 
18201	11.82	 $426.76 
18202	18.52	 $374.10 
18203	12.88	 $398.68 
18204	11.84	 $277.62 
18205	15.46	 $408.89 
18206	10.98	 $349.12 
18207	10.12	 $348.66 
18208	12.22	 $505.45 
18209	10.47	 $460.93 
18210	13.05	 $577.46 
18211	11.91	 $483.46 
18212	4.81	 $415.17 
18213	18.52	 $612.05 
18214	11.12	 $459.97 
18215	10.74	 $383.34 
18216	14.81	 $377.87 
18217	10.65	 $485.18 
18218	11.84	 $304.98 
18219	12.82	 $478.77 
18220	15.62	 $546.23 
18221	15.32	 $441.56 
18222	17.82	 $385.44 
18223	7.12	 $175.24 
18224	17.36	 $913.07 
18225	14.44	 $401.52 
18226	8.97	 $380.59 
18227	12.21	 $545.16 
18228	11.96	 $844.16 
18229	14.24	 $437.86 
18230	13.85	 $486.13 
18231	9.04	 $583.50 
18232	12.13	" $1,150.87 "
18233	10.74	 $371.09 
18234	9.37	 $236.84 
18235	6.41	 $311.63 
18236	7.3	 $411.08 
18237	13.57	 $605.47 
18238	14.59	 $524.71 
18239	11.14	 $307.94 
18240	10.59	 $436.56 
18241	9.81	 $498.58 
18242	8.19	 $374.89 
18243	14	 $904.20 
18244	12.22	 $174.76 
18245	16.28	 $615.98 
18246	17.29	 $184.66 
18247	14.65	 $899.96 
18248	18.48	 $505.68 
18249	13.33	 $676.63 
18250	19.95	 $698.92 
18251	11.71	 $705.86 
18252	10.91	 $240.69 
18253	10.6	 $148.03 
18254	15.03	 $577.92 
18255	7	 $468.81 
18256	15.84	 $414.97 
18257	14.86	 $261.71 
18258	15.51	 $680.03 
18259	11.09	 $264.42 
18260	15.13	 $724.75 
18261	11.8	 $381.58 
18262	15.77	 $709.58 
18263	11.51	 $916.82 
18264	14.17	 $445.09 
18265	14.21	 $637.64 
18266	13.7	 $285.88 
18267	8.29	 $632.10 
18268	15.69	 $268.39 
18269	8.32	 $205.36 
18270	10.56	 $427.48 
18271	18.19	 $535.41 
18272	8.28	 $559.87 
18273	13.15	" $1,215.53 "
18274	12.78	 $764.73 
18275	10.16	 $309.22 
18276	9.22	 $570.88 
18277	10.27	 $359.27 
18278	9.12	 $389.62 
18279	12.06	 $358.17 
18280	14.89	 $504.91 
18281	4.34	 $350.25 
18282	8.79	 $729.97 
18283	11.71	 $465.63 
18284	11	 $421.01 
18285	4.78	 $360.11 
18286	13.64	 $339.57 
18287	12.24	 $402.81 
18288	9.65	 $360.06 
18289	7.99	 $476.69 
18290	13.61	 $417.84 
18291	11.18	 $430.05 
18292	11.07	 $294.05 
18293	9.17	 $515.50 
18294	18.96	 $973.97 
18295	16.43	 $524.79 
18296	15.41	 $470.27 
18297	7.22	 $477.06 
18298	13.1	 $382.41 
18299	18.65	 $925.07 
18300	7.5	 $283.85 
18301	16.47	 $500.95 
18302	12.21	 $722.40 
18303	19.19	 $677.68 
18304	12.33	 $548.72 
18305	12.85	 $496.28 
18306	18.31	 $381.42 
18307	8.52	 $287.75 
18308	3.64	 $809.63 
18309	11.25	 $732.27 
18310	12.14	 $702.97 
18311	12.43	 $545.60 
18312	8.6	 $421.82 
18313	13.14	 $310.50 
18314	6.97	 $510.93 
18315	14.36	 $436.43 
18316	7.69	 $398.88 
18317	13.23	 $410.04 
18318	9.77	 $207.35 
18319	14.88	 $523.12 
18320	12.7	 $554.34 
18321	10.05	 $620.08 
18322	9.23	 $414.93 
18323	5.79	 $449.70 
18324	14.73	 $354.45 
18325	16.93	 $468.35 
18326	19.97	 $851.35 
18327	10.86	 $420.05 
18328	6.33	 $489.11 
18329	13.86	 $722.96 
18330	15.45	 $414.03 
18331	15	 $471.36 
18332	8.92	 $202.49 
18333	15.2	 $471.18 
18334	12.65	 $581.44 
18335	14.35	 $465.89 
18336	9.84	 $415.55 
18337	11.4	 $554.92 
18338	19.27	" $1,014.72 "
18339	15.99	 $566.54 
18340	15.15	 $625.10 
18341	13.78	" $1,028.71 "
18342	15.36	 $369.56 
18343	14.82	 $454.41 
18344	7.82	 $573.29 
18345	15.03	 $874.19 
18346	15.92	 $382.71 
18347	16.61	 $774.52 
18348	13.13	 $810.73 
18349	10.94	 $696.86 
18350	10.66	 $559.02 
18351	11.32	 $404.59 
18352	13.75	 $465.62 
18353	10.75	 $320.41 
18354	14.06	 $919.52 
18355	11.06	 $600.33 
18356	10.64	 $327.55 
18357	12.54	 $496.49 
18358	9.42	 $415.66 
18359	16.44	 $450.34 
18360	6.12	 $368.34 
18361	12.74	 $611.74 
18362	11.6	 $551.59 
18363	11.01	 $887.61 
18364	9.94	 $330.44 
18365	13.89	 $523.80 
18366	12.18	 $505.76 
18367	10.55	 $481.50 
18368	8.46	 $302.12 
18369	16.01	 $528.12 
18370	11.73	 $328.98 
18371	9.01	 $390.37 
18372	11.87	 $430.28 
18373	12.05	 $564.57 
18374	15.29	 $348.59 
18375	19.41	 $383.38 
18376	11.16	 $280.91 
18377	8.18	 $387.64 
18378	15.77	 $433.18 
18379	7.91	 $708.80 
18380	7.55	 $398.94 
18381	11.15	 $427.57 
18382	12.03	 $359.53 
18383	16.88	 $556.15 
18384	9.56	 $631.03 
18385	13.78	 $649.14 
18386	11.03	 $404.58 
18387	7.71	 $966.53 
18388	7.03	 $507.37 
18389	11.76	 $881.37 
18390	10.1	 $270.18 
18391	12.11	 $536.76 
18392	14.52	 $835.66 
18393	12.11	 $220.72 
18394	16.37	 $484.17 
18395	11.14	 $416.52 
18396	14.29	 $802.24 
18397	11.06	 $542.87 
18398	10.16	 $828.84 
18399	11.16	 $650.67 
18400	13.64	 $749.48 
18401	6.48	 $669.35 
18402	15.3	 $816.95 
18403	10.67	 $302.13 
18404	18.92	 $294.63 
18405	12.26	 $387.13 
18406	10.2	 $399.43 
18407	15.57	" $1,030.00 "
18408	17.48	" $1,118.55 "
18409	10.3	 $462.75 
18410	7.18	 $443.78 
18411	13.75	 $295.61 
18412	13.1	 $708.14 
18413	12.79	 $865.27 
18414	17.16	 $447.08 
18415	7.98	 $549.94 
18416	10.72	 $395.11 
18417	17.27	 $852.83 
18418	10.04	 $424.52 
18419	13.47	 $962.78 
18420	11.08	 $335.62 
18421	13.67	 $452.50 
18422	13.34	 $726.19 
18423	11.78	 $542.59 
18424	11.04	 $620.35 
18425	14.82	 $748.20 
18426	17.63	 $756.80 
18427	7.2	 $231.96 
18428	14.31	 $536.53 
18429	17.16	 $459.88 
18430	14.38	 $696.47 
18431	13.68	 $857.49 
18432	15.5	 $583.64 
18433	12.74	 $327.85 
18434	12.88	 $198.74 
18435	8.91	 $392.39 
18436	12.11	 $468.63 
18437	18.74	 $515.95 
18438	14.75	 $672.90 
18439	8.51	 $333.23 
18440	19.55	 $873.15 
18441	14.6	 $691.25 
18442	14.43	 $650.74 
18443	16.48	 $684.21 
18444	13.32	 $534.06 
18445	10.7	 $773.15 
18446	19	" $1,202.98 "
18447	11.03	 $504.64 
18448	9.12	 $490.63 
18449	15.87	 $462.82 
18450	14.56	 $915.86 
18451	14.73	 $667.33 
18452	18.03	 $353.33 
18453	13.02	 $462.38 
18454	13.53	 $464.68 
18455	18.94	" $1,006.18 "
18456	16.38	 $410.35 
18457	14.56	 $388.83 
18458	6.09	 $413.51 
18459	13	 $322.04 
18460	12.13	 $480.37 
18461	16.39	 $511.88 
18462	12.82	 $526.36 
18463	12.91	 $756.51 
18464	12.13	 $648.27 
18465	10.34	 $775.48 
18466	12.2	 $531.44 
18467	15.02	 $704.09 
18468	9.57	 $817.82 
18469	11.06	 $344.67 
18470	11.75	 $452.92 
18471	10.22	 $342.90 
18472	12.41	 $482.49 
18473	10.66	 $265.93 
18474	10.1	 $308.14 
18475	11.25	 $423.96 
18476	16.66	 $683.49 
18477	13.6	 $294.16 
18478	13.82	 $475.13 
18479	17.78	 $977.16 
18480	10.26	 $832.51 
18481	11.81	 $484.79 
18482	15.41	 $595.31 
18483	12.4	 $658.64 
18484	12.72	 $311.20 
18485	17.09	 $808.24 
18486	17.47	 $666.13 
18487	13.3	 $794.23 
18488	13.96	 $284.26 
18489	9.72	 $207.89 
18490	15.2	 $259.82 
18491	8.89	 $391.53 
18492	13.24	 $288.65 
18493	19.39	 $506.40 
18494	13.27	 $515.34 
18495	10.72	 $322.37 
18496	10.99	 $482.72 
18497	17.08	 $741.44 
18498	13.22	 $658.97 
18499	16.94	 $808.26 
18500	19.8	" $1,016.61 "
18501	12.01	 $392.49 
18502	12.3	 $415.29 
18503	12.13	 $517.00 
18504	15.02	 $458.87 
18505	9.69	 $688.55 
18506	12.05	 $295.56 
18507	20.21	" $1,336.22 "
18508	10.46	 $307.97 
18509	15.51	 $712.16 
18510	8.5	 $415.35 
18511	7.74	 $520.49 
18512	12.57	 $510.89 
18513	13.58	 $780.25 
18514	15.55	 $409.78 
18515	12.94	 $627.41 
18516	13.47	 $344.54 
18517	12.06	 $284.96 
18518	14.23	 $255.88 
18519	10.42	 $505.38 
18520	11.03	 $256.98 
18521	13.49	 $472.65 
18522	11.5	 $477.97 
18523	10.6	 $370.47 
18524	8.43	 $651.94 
18525	10.63	 $542.13 
18526	11.27	 $383.15 
18527	10.75	 $425.29 
18528	18.91	 $664.16 
18529	10.74	 $298.02 
18530	16.42	 $690.48 
18531	15.12	 $527.47 
18532	10.75	 $396.23 
18533	15.43	 $492.22 
18534	9.62	 $622.73 
18535	14.12	 $583.79 
18536	16.4	 $745.44 
18537	5.42	 $231.43 
18538	11.96	 $421.91 
18539	14.46	 $938.97 
18540	11.52	 $575.91 
18541	12.99	 $197.76 
18542	11.04	 $737.38 
18543	11.63	 $322.88 
18544	11.33	 $311.66 
18545	15.77	 $723.61 
18546	11.13	 $300.50 
18547	17.7	 $670.30 
18548	18.91	 $467.61 
18549	4.92	 $299.10 
18550	11.15	 $353.12 
18551	14.21	 $319.62 
18552	9	 $333.22 
18553	6.31	 $656.95 
18554	16.71	 $554.08 
18555	9.55	 $547.28 
18556	16.32	 $910.22 
18557	15.85	 $827.68 
18558	14.57	 $327.84 
18559	13.28	 $196.60 
18560	10.35	 $352.54 
18561	8.82	 $274.78 
18562	10.13	 $400.34 
18563	18.21	 $454.00 
18564	12.41	 $762.47 
18565	17.8	 $732.26 
18566	9.73	 $762.61 
18567	11.11	 $562.89 
18568	14.92	 $516.01 
18569	18.37	 $653.76 
18570	14.2	 $271.10 
18571	12.93	 $149.83 
18572	11.68	 $592.38 
18573	10.87	 $387.81 
18574	13.55	 $508.27 
18575	15.22	" $1,112.88 "
18576	11.78	 $326.55 
18577	8.42	 $421.35 
18578	11.38	 $738.58 
18579	8.97	 $281.56 
18580	12.96	 $498.67 
18581	13.62	 $284.19 
18582	11.87	 $633.99 
18583	12.68	 $680.97 
18584	17.52	 $344.35 
18585	9.38	 $745.36 
18586	12.45	 $355.38 
18587	21.66	 $810.84 
18588	9.98	 $349.80 
18589	10.39	 $439.34 
18590	17.29	 $274.32 
18591	18.03	 $839.55 
18592	11.69	 $309.95 
18593	16.46	 $342.53 
18594	13.87	 $351.78 
18595	14.09	 $373.88 
18596	11.53	 $223.64 
18597	14.61	 $361.51 
18598	11.73	 $526.54 
18599	12.26	" $1,154.74 "
18600	14.38	 $510.00 
18601	18.1	" $1,445.37 "
18602	11.69	 $371.60 
18603	16.22	 $528.80 
18604	16.42	 $331.23 
18605	10.7	 $366.28 
18606	13.34	 $463.29 
18607	7.27	 $308.15 
18608	17.8	 $652.53 
18609	14.98	 $708.59 
18610	8.84	 $346.46 
18611	19.2	 $304.41 
18612	13.16	 $483.38 
18613	5.98	 $771.32 
18614	7.55	 $552.85 
18615	16.87	" $1,124.12 "
18616	3.7	 $307.00 
18617	12.01	 $360.13 
18618	14.89	 $516.45 
18619	12.09	 $833.79 
18620	17.85	 $807.95 
18621	10.77	 $743.43 
18622	9.93	 $311.75 
18623	14.62	 $602.78 
18624	21.48	 $826.15 
18625	16.31	 $637.20 
18626	12.68	 $701.51 
18627	9.47	 $986.18 
18628	12.44	 $224.21 
18629	13.5	 $707.46 
18630	21.75	 $651.41 
18631	14.88	 $526.53 
18632	17.98	 $433.15 
18633	9.4	 $835.17 
18634	12.77	" $1,039.84 "
18635	15.78	 $751.52 
18636	13.83	 $356.78 
18637	16.91	 $833.43 
18638	13.52	 $506.67 
18639	10.45	 $365.37 
18640	12.44	 $824.07 
18641	11	 $323.40 
18642	12.76	 $416.70 
18643	8.18	 $390.01 
18644	9.73	 $359.12 
18645	19.66	 $545.38 
18646	17.65	 $540.36 
18647	9.46	 $225.16 
18648	15.15	 $680.23 
18649	10.72	 $396.52 
18650	9.54	 $504.01 
18651	10.12	 $284.37 
18652	13.94	 $849.92 
18653	10.78	 $688.69 
18654	14.61	 $462.49 
18655	14.95	 $328.15 
18656	15.24	 $841.98 
18657	12.78	 $300.17 
18658	16.35	 $627.37 
18659	8.81	 $308.60 
18660	12.51	 $353.07 
18661	13.67	 $359.75 
18662	13.2	 $641.44 
18663	13.99	 $601.53 
18664	11.42	 $889.41 
18665	18.71	 $698.68 
18666	7.96	 $531.73 
18667	8.23	 $342.95 
18668	10.56	 $906.28 
18669	9.02	 $365.83 
18670	13.98	 $657.98 
18671	13.35	 $437.75 
18672	16.46	 $842.20 
18673	14.11	 $714.15 
18674	16.83	 $403.65 
18675	15.48	 $561.36 
18676	8.39	 $384.88 
18677	10.19	 $317.20 
18678	11.71	 $336.77 
18679	16.71	 $424.74 
18680	8.1	 $392.04 
18681	11.01	 $723.27 
18682	8.57	 $349.67 
18683	11.58	 $423.39 
18684	13.75	 $474.14 
18685	10.82	 $475.94 
18686	12.17	 $300.73 
18687	15.02	 $392.14 
18688	10.09	 $382.30 
18689	11.22	 $933.84 
18690	16.92	 $624.31 
18691	5.3	 $330.18 
18692	9.91	 $471.35 
18693	8.03	 $570.35 
18694	18.28	 $660.13 
18695	17.15	 $545.19 
18696	7.17	 $573.08 
18697	15.2	 $550.87 
18698	15.54	 $751.54 
18699	10.1	 $715.13 
18700	10.26	 $348.35 
18701	13	 $561.34 
18702	12.33	 $348.79 
18703	12.5	 $561.35 
18704	12.26	 $627.62 
18705	10.4	 $333.67 
18706	9.81	 $547.27 
18707	12.03	 $507.49 
18708	12.84	 $492.12 
18709	9.21	 $767.62 
18710	12.95	" $1,039.78 "
18711	14.73	 $751.03 
18712	19.21	 $582.46 
18713	7.34	 $256.90 
18714	8.31	 $472.89 
18715	16.39	 $578.05 
18716	19.61	 $451.94 
18717	15.48	 $256.51 
18718	11	 $421.14 
18719	16.61	 $429.81 
18720	10.61	 $414.42 
18721	12.21	 $500.60 
18722	14.83	 $494.88 
18723	15.9	 $237.87 
18724	15.16	 $555.68 
18725	16.05	 $351.34 
18726	12.26	 $666.24 
18727	21.55	 $714.38 
18728	11.4	 $367.70 
18729	13.87	 $628.70 
18730	19.82	 $745.85 
18731	10.67	 $345.69 
18732	10.56	 $276.18 
18733	10.57	 $336.90 
18734	14.87	 $361.52 
18735	13.95	 $571.45 
18736	8.74	 $346.09 
18737	14.27	 $322.51 
18738	19.65	 $321.46 
18739	9.7	 $579.20 
18740	15.38	 $530.95 
18741	17.26	 $421.93 
18742	5.46	 $271.81 
18743	12.37	 $604.23 
18744	12.63	 $611.35 
18745	13.99	 $523.27 
18746	14.43	 $607.98 
18747	11.87	 $365.14 
18748	7.7	 $930.11 
18749	11.03	 $330.18 
18750	13.93	 $265.20 
18751	5.42	 $372.40 
18752	12.71	 $389.57 
18753	15.34	 $779.60 
18754	13.13	 $865.47 
18755	13.9	 $608.35 
18756	19.29	 $538.84 
18757	10.82	 $286.98 
18758	8.76	 $348.94 
18759	17.83	 $483.62 
18760	11.71	 $260.60 
18761	13.76	" $1,047.55 "
18762	11.49	 $734.74 
18763	17.58	 $954.95 
18764	6.89	 $570.11 
18765	9.69	 $587.80 
18766	14.61	 $781.82 
18767	14.13	 $677.98 
18768	7.36	 $494.59 
18769	14.2	 $382.04 
18770	7.65	 $312.87 
18771	16.47	 $439.22 
18772	9.19	 $612.18 
18773	8.92	 $393.42 
18774	13.37	 $880.76 
18775	14.73	 $376.98 
18776	12.37	 $564.55 
18777	10.79	 $327.28 
18778	15.85	 $381.25 
18779	9.69	 $821.06 
18780	11.04	 $190.98 
18781	17.72	 $858.95 
18782	16.58	 $540.06 
18783	16.43	 $644.60 
18784	8.43	 $407.51 
18785	8.95	 $313.77 
18786	11.65	 $582.45 
18787	9.83	 $562.14 
18788	19.65	 $470.50 
18789	10.43	 $428.24 
18790	13.75	 $660.75 
18791	15.69	 $775.69 
18792	13.55	 $248.65 
18793	12.46	 $739.53 
18794	12.23	 $794.74 
18795	11.87	 $435.45 
18796	15.1	 $659.09 
18797	11.74	 $362.17 
18798	7.68	 $331.42 
18799	11.81	 $738.90 
18800	10.04	 $430.63 
18801	15.93	 $512.69 
18802	9.13	 $693.67 
18803	15.55	 $784.35 
18804	13.71	 $643.44 
18805	11.33	 $342.42 
18806	9.5	 $496.61 
18807	8.75	 $415.12 
18808	10.67	 $293.95 
18809	14.34	 $491.58 
18810	12.66	 $729.25 
18811	14.6	 $553.92 
18812	13.55	 $437.11 
18813	8.78	 $383.58 
18814	11.8	 $510.37 
18815	13.18	 $743.51 
18816	8.39	 $427.54 
18817	11.09	 $370.74 
18818	15.62	 $563.74 
18819	12.35	 $469.17 
18820	18.7	 $628.71 
18821	12.3	 $524.15 
18822	12.42	 $320.73 
18823	15.04	 $953.87 
18824	12.58	 $218.76 
18825	11.83	 $372.17 
18826	13.09	 $572.82 
18827	8.12	 $509.56 
18828	12.25	 $291.45 
18829	19.32	 $521.60 
18830	18.29	 $723.45 
18831	13.98	 $510.40 
18832	17.92	 $905.68 
18833	9.01	 $239.43 
18834	6.38	 $476.13 
18835	16.99	" $1,233.12 "
18836	12.04	 $515.49 
18837	11.5	 $224.27 
18838	13.31	 $585.25 
18839	13.42	 $514.22 
18840	10.26	 $424.04 
18841	13.49	 $549.83 
18842	10.26	 $594.58 
18843	14.76	 $769.84 
18844	6.32	 $368.21 
18845	14.11	 $411.86 
18846	15.38	 $924.59 
18847	16.31	 $808.18 
18848	8.12	 $374.66 
18849	18.47	 $786.92 
18850	12.14	 $578.07 
18851	11.89	 $579.78 
18852	10.84	 $845.58 
18853	7.94	 $252.45 
18854	13.77	 $434.22 
18855	11.56	 $427.41 
18856	13.49	 $631.51 
18857	15.44	 $610.21 
18858	13.11	 $379.79 
18859	11.7	" $1,062.27 "
18860	18.22	 $764.87 
18861	12.37	 $531.91 
18862	10.68	 $182.65 
18863	13.57	 $629.73 
18864	16.52	 $326.60 
18865	11.17	 $443.21 
18866	11.53	 $539.69 
18867	12.81	 $294.24 
18868	11.22	 $288.58 
18869	12.07	 $202.30 
18870	11.17	 $649.42 
18871	10.87	 $315.95 
18872	10.64	 $264.00 
18873	14.24	" $1,239.56 "
18874	9.88	 $399.53 
18875	15.38	 $689.52 
18876	14.56	 $583.18 
18877	11.35	 $275.48 
18878	14.16	 $611.89 
18879	15.63	 $312.13 
18880	16.21	 $576.24 
18881	12.34	 $609.65 
18882	12.06	 $602.35 
