Obs	NO_SEGUIDORES	INGRESOS_POR_CONTENIDO_ONLINE
31403	6636	" $5,720.26 "
31404	24146	" $8,777.32 "
31405	3486	" $4,169.43 "
31406	16936	" $5,145.00 "
31407	10635	" $4,501.95 "
31408	32382	" $9,572.04 "
31409	18982	" $5,105.74 "
31410	26456	" $10,958.97 "
31411	5536	" $1,740.52 "
31412	2936	 $765.05 
31413	10663	" $3,304.43 "
31414	7846	" $2,164.85 "
31415	7832	" $4,174.90 "
31416	23704	" $9,126.87 "
31417	15561	" $5,097.28 "
31418	3788	" $2,845.55 "
31419	37351	" $9,790.39 "
31420	13012	" $4,697.10 "
31421	4473	" $2,443.84 "
31422	19911	" $8,572.14 "
31423	9731	" $2,812.87 "
31424	11640	" $3,578.89 "
31425	18726	" $8,662.85 "
31426	8516	" $3,966.29 "
31427	3236	" $4,543.38 "
31428	3813	-$787.04 
31429	7590	" $4,006.86 "
31430	102476	" $27,433.21 "
31431	8281	" $3,582.29 "
31432	31137	" $10,592.87 "
31433	33092	" $8,178.74 "
31434	55600	" $15,308.58 "
31435	7282	" $2,046.93 "
31436	22920	" $5,307.82 "
31437	31340	" $6,272.79 "
31438	36503	" $11,866.02 "
31439	8188	" $1,610.02 "
31440	8450	" $4,853.81 "
31441	149275	" $39,925.82 "
31442	8365	" $5,460.16 "
31443	17369	" $4,491.85 "
31444	4478	" $3,536.86 "
31445	13304	" $4,928.29 "
31446	12300	" $4,780.68 "
31447	5442	" $2,551.11 "
31448	12733	" $5,530.18 "
31449	14885	" $7,857.18 "
31450	16032	" $7,210.63 "
31451	17989	" $5,098.05 "
31452	21758	" $7,657.74 "
31453	18728	" $6,382.15 "
31454	9298	" $5,067.67 "
31455	4581	" $2,450.09 "
31456	12604	-$328.73 
31457	6675	" $4,143.84 "
31458	10440	" $3,051.71 "
31459	6810	" $2,957.10 "
31460	12545	" $6,644.09 "
31461	23987	" $5,821.24 "
31462	7965	" $4,797.09 "
31463	2781	" $2,700.03 "
31464	42571	" $13,000.70 "
31465	30662	" $10,412.00 "
31466	43442	" $12,066.68 "
31467	41829	" $10,382.56 "
31468	33016	" $10,993.23 "
31469	16322	" $9,779.81 "
31470	23665	" $8,840.50 "
31471	10389	" $1,714.17 "
31472	2485	" $2,421.39 "
31473	4950	" $1,596.92 "
31474	21242	" $6,787.65 "
31475	10207	" $7,633.99 "
31476	4980	" $2,443.40 "
31477	4073	" $3,088.95 "
31478	53257	" $12,908.28 "
31479	2891	" $2,486.09 "
31480	9587	" $4,683.91 "
31481	2064	" $1,644.24 "
31482	9113	" $5,165.37 "
31483	51565	" $16,228.51 "
31484	28664	" $6,273.95 "
31485	19306	" $6,298.00 "
31486	13903	" $5,400.26 "
31487	29868	" $10,199.41 "
31488	23713	" $7,275.50 "
31489	9526	 $388.37 
31490	19961	" $6,691.78 "
31491	9341	" $4,877.66 "
31492	11039	" $5,370.86 "
31493	24800	" $8,481.27 "
31494	18224	" $4,975.58 "
31495	28887	" $10,096.63 "
31496	8379	" $2,725.47 "
31497	16606	" $5,721.40 "
31498	22766	" $6,305.99 "
31499	17254	" $6,932.31 "
31500	26518	" $6,417.88 "
31501	80712	" $23,132.00 "
31502	9383	" $4,310.74 "
31503	10125	" $2,778.77 "
31504	9295	" $4,904.93 "
31505	34083	" $9,154.88 "
31506	2939	" $2,024.29 "
31507	13843	" $8,109.65 "
31508	6882	" $5,174.66 "
31509	7752	" $5,465.38 "
31510	26753	" $7,676.37 "
31511	4893	" $4,679.91 "
31512	10179	" $6,707.37 "
31513	8972	" $2,971.01 "
31514	8457	" $3,554.80 "
31515	29761	" $8,849.97 "
31516	2034	" $1,976.67 "
31517	3622	" $3,904.86 "
31518	14662	" $5,703.93 "
31519	16874	" $8,141.92 "
31520	20840	" $7,267.18 "
31521	7385	" $3,736.92 "
31522	16028	" $7,150.35 "
31523	7243	" $4,120.29 "
31524	13540	" $7,688.84 "
31525	10315	" $4,988.73 "
31526	103747	" $27,170.37 "
31527	29059	" $7,830.27 "
31528	11267	" $6,975.36 "
31529	22650	" $7,513.51 "
31530	8967	" $6,064.27 "
31531	23694	" $6,876.85 "
31532	29463	" $8,921.19 "
31533	20786	" $8,728.42 "
31534	55029	" $16,466.97 "
31535	8896	" $5,313.82 "
31536	14151	" $5,286.75 "
31537	6079	" $3,856.74 "
31538	16221	" $7,944.82 "
31539	4371	" $3,799.39 "
31540	6056	" $3,533.18 "
31541	14674	" $5,887.39 "
31542	6587	" $3,189.68 "
31543	22589	" $5,656.14 "
31544	12472	" $4,572.57 "
31545	3944	" $3,185.61 "
31546	29176	" $6,579.29 "
31547	11287	" $4,363.59 "
31548	18878	" $7,217.82 "
31549	2614	" $1,604.44 "
31550	6517	-$60.63 
31551	20780	" $9,306.37 "
31552	13530	" $3,129.35 "
31553	29752	" $10,213.77 "
31554	28966	" $10,104.23 "
31555	43378	" $12,346.06 "
31556	4266	" $3,232.98 "
31557	22479	" $6,226.29 "
31558	24235	" $5,663.63 "
31559	18361	" $10,567.03 "
31560	10058	" $4,102.42 "
31561	15989	" $4,272.30 "
31562	23013	" $7,510.52 "
31563	18866	" $5,915.96 "
31564	76702	" $21,867.23 "
31565	69641	" $18,268.98 "
31566	34043	" $11,195.98 "
31567	7900	" $4,882.16 "
31568	13015	" $3,961.24 "
31569	14867	" $5,565.34 "
31570	11162	" $5,350.79 "
31571	11654	" $4,478.32 "
31572	7806	" $4,697.66 "
31573	6386	" $2,370.96 "
31574	6440	" $3,905.89 "
31575	18927	" $6,237.86 "
31576	13354	" $7,878.27 "
31577	3419	" $1,660.58 "
31578	6488	" $3,265.03 "
31579	31568	" $8,467.72 "
31580	5801	" $4,927.16 "
31581	7826	" $5,448.39 "
31582	14556	" $7,718.63 "
31583	5993	" $1,261.98 "
31584	7511	" $3,534.36 "
31585	9637	" $4,314.18 "
31586	25650	" $10,663.61 "
31587	7761	" $3,112.31 "
31588	19532	" $10,137.33 "
31589	3052	" $2,294.65 "
31590	16926	" $6,736.33 "
31591	6363	" $3,468.65 "
31592	25836	" $6,939.07 "
31593	1965	" $3,058.41 "
31594	9591	" $3,664.70 "
31595	9402	" $4,553.89 "
31596	6471	" $2,621.74 "
31597	12574	" $3,957.80 "
31598	12798	" $6,955.35 "
31599	16960	" $6,956.99 "
31600	8597	" $4,111.31 "
31601	4742	" $5,593.81 "
31602	9638	" $6,455.23 "
31603	17537	" $6,939.16 "
31604	66969	" $16,364.33 "
31605	23670	" $5,836.39 "
31606	9659	" $3,468.88 "
31607	11602	" $2,583.49 "
31608	41057	" $12,421.63 "
31609	32646	" $13,093.25 "
31610	17392	" $6,741.60 "
31611	19722	" $8,198.45 "
31612	7981	" $3,237.55 "
31613	18324	" $6,378.09 "
31614	10313	" $5,518.89 "
31615	13893	" $4,002.61 "
31616	33637	" $11,372.54 "
31617	27580	" $10,138.92 "
31618	4751	" $3,923.02 "
31619	79906	" $25,062.14 "
31620	16452	" $4,650.02 "
31621	8201	" $3,547.06 "
31622	23203	" $6,913.72 "
31623	16495	" $7,035.62 "
31624	13452	" $6,374.07 "
31625	5877	" $3,996.17 "
31626	60295	" $15,690.75 "
31627	18455	" $7,466.17 "
31628	44353	" $14,327.99 "
31629	17215	" $4,698.57 "
31630	16020	" $5,575.82 "
31631	61344	" $14,932.09 "
31632	34307	" $10,691.44 "
31633	13121	" $5,258.23 "
31634	8345	" $3,424.54 "
31635	4009	" $1,936.08 "
31636	1476	" $4,665.98 "
31637	51138	" $13,739.78 "
31638	17332	" $8,421.62 "
31639	6677	" $4,899.99 "
31640	6962	" $5,482.94 "
31641	11584	" $7,076.70 "
31642	5709	 $945.19 
31643	19961	" $9,463.25 "
31644	18548	" $8,290.80 "
31645	47830	" $13,658.94 "
31646	25322	" $6,826.09 "
31647	7537	" $3,326.84 "
31648	10221	" $5,098.96 "
31649	12513	" $5,578.46 "
31650	30754	" $9,008.37 "
31651	2888	" $1,911.86 "
31652	23495	" $10,223.64 "
31653	10089	" $4,007.96 "
31654	69882	" $20,413.26 "
31655	9538	" $1,192.83 "
31656	27919	" $11,578.45 "
31657	22373	" $5,425.43 "
31658	30753	" $9,639.51 "
31659	8291	" $7,010.37 "
31660	23622	" $6,162.87 "
31661	5607	" $4,985.16 "
31662	66108	" $18,416.97 "
31663	20104	" $7,044.70 "
31664	4565	 $552.96 
31665	10030	" $2,043.74 "
31666	16245	" $4,079.52 "
31667	17921	" $8,035.24 "
31668	17383	" $5,808.03 "
31669	16726	" $4,776.50 "
31670	5093	" $4,320.89 "
31671	4382	" $3,084.94 "
31672	5661	" $1,573.17 "
31673	10098	" $4,077.83 "
31674	21064	" $5,856.90 "
31675	19200	" $7,462.15 "
31676	20561	" $6,368.37 "
31677	5975	" $1,929.69 "
31678	8454	" $4,071.79 "
31679	11931	" $5,747.71 "
31680	8829	" $4,786.18 "
31681	23119	" $10,967.69 "
31682	14589	" $5,336.64 "
31683	23365	" $8,221.93 "
31684	15388	" $7,660.41 "
31685	37250	" $9,834.81 "
31686	12491	" $4,092.72 "
31687	27358	" $6,198.26 "
31688	4891	" $4,748.27 "
31689	10063	" $1,476.33 "
31690	35021	" $10,373.12 "
31691	9984	" $5,593.84 "
31692	13003	" $5,412.14 "
31693	10966	" $4,952.67 "
31694	19250	" $6,224.25 "
31695	11194	" $4,917.66 "
31696	2493	" $4,170.66 "
31697	15227	" $6,440.32 "
31698	28095	" $11,062.39 "
31699	7223	" $4,888.77 "
31700	16271	" $8,897.79 "
31701	2906	"-$1,607.15 "
31702	13548	" $3,979.29 "
31703	20853	" $7,566.90 "
31704	34544	" $11,868.92 "
31705	6480	" $3,411.95 "
31706	13170	" $6,112.43 "
31707	5417	" $5,520.22 "
31708	40291	" $12,904.57 "
31709	7704	" $4,337.36 "
31710	21584	" $6,544.88 "
31711	28817	" $11,032.54 "
31712	6118	" $5,328.14 "
31713	8738	" $3,790.45 "
31714	48854	" $16,943.61 "
31715	6337	" $4,293.39 "
31716	29951	" $11,946.40 "
31717	2586	" $1,480.25 "
31718	21522	" $8,321.77 "
31719	13476	" $5,694.99 "
31720	1940	" $1,064.55 "
31721	3291	" $1,094.06 "
31722	21160	" $4,463.97 "
31723	8889	" $5,269.09 "
31724	6784	" $1,620.25 "
31725	5414	" $1,690.59 "
31726	21104	" $8,502.74 "
31727	20057	" $6,095.18 "
31728	24534	" $5,874.73 "
31729	5882	" $4,588.82 "
31730	13994	" $4,379.42 "
31731	58178	" $15,052.44 "
31732	5670	" $5,228.48 "
31733	7892	" $4,192.37 "
31734	21204	" $8,811.81 "
31735	10742	" $4,489.10 "
31736	7026	" $4,077.15 "
31737	7860	" $3,668.00 "
31738	19272	" $8,753.61 "
31739	11387	" $3,156.81 "
31740	12618	" $4,721.62 "
31741	38731	" $12,903.57 "
31742	3713	" $4,894.91 "
31743	13335	" $4,503.10 "
31744	6414	" $4,463.75 "
31745	15108	" $9,216.91 "
31746	11405	" $4,689.73 "
31747	4761	" $2,441.22 "
31748	23978	" $9,210.28 "
31749	14201	" $4,541.53 "
31750	8124	" $4,488.61 "
31751	15830	" $6,939.71 "
31752	3942	" $3,541.17 "
31753	1251	" $2,590.33 "
31754	17028	" $8,692.44 "
31755	21236	" $6,317.53 "
31756	29241	" $6,965.23 "
31757	9884	" $5,564.51 "
31758	30677	" $8,962.62 "
31759	8260	" $4,094.65 "
31760	9477	" $4,965.61 "
31761	9737	" $6,066.56 "
31762	8078	" $5,453.72 "
31763	3511	-$14.78 
31764	36461	" $10,730.65 "
31765	10345	" $5,559.20 "
31766	18844	" $8,526.57 "
31767	1292	" $2,777.06 "
31768	13479	" $5,293.18 "
31769	6775	 $723.26 
31770	15565	" $6,904.11 "
31771	12554	" $1,488.06 "
31772	17352	" $8,114.37 "
31773	40930	" $12,681.59 "
31774	3365	" $1,755.91 "
31775	17158	" $9,877.56 "
31776	41869	" $10,857.83 "
31777	8412	" $3,545.70 "
31778	12833	" $4,445.89 "
31779	24932	" $9,536.67 "
31780	4140	" $4,523.40 "
31781	4232	" $4,280.60 "
31782	10767	" $5,132.77 "
31783	20153	" $7,039.14 "
31784	5157	" $2,380.97 "
31785	15662	" $7,133.41 "
31786	11606	" $5,651.28 "
31787	5573	" $3,435.10 "
31788	9962	" $5,091.21 "
31789	28613	" $8,151.48 "
31790	7851	" $4,212.78 "
31791	10072	" $6,329.62 "
31792	13468	" $5,421.05 "
31793	50039	" $12,150.92 "
31794	15804	" $4,962.69 "
31795	2925	" $2,221.42 "
31796	16170	" $5,673.94 "
31797	14048	" $4,596.32 "
31798	12723	" $5,472.52 "
31799	4161	" $4,535.44 "
31800	9240	" $4,991.92 "
31801	7770	" $6,913.92 "
31802	14445	" $3,125.86 "
31803	14666	" $3,528.28 "
31804	23526	" $9,533.74 "
31805	2668	" $3,569.94 "
31806	51095	" $12,674.03 "
31807	16054	" $7,378.22 "
31808	18645	" $5,497.71 "
31809	30436	" $11,304.16 "
31810	14990	" $6,767.04 "
31811	8455	" $2,044.23 "
31812	22083	" $8,307.67 "
31813	26936	" $8,652.66 "
31814	17081	" $5,270.69 "
31815	12158	" $6,333.46 "
31816	12991	" $7,072.41 "
31817	47388	" $15,280.77 "
31818	80345	" $23,498.59 "
31819	15692	" $3,781.95 "
31820	7605	" $4,335.23 "
31821	12351	" $5,540.77 "
31822	13924	" $6,576.10 "
31823	10406	" $8,029.29 "
31824	46597	" $14,717.73 "
31825	10223	" $4,778.85 "
31826	15964	" $5,389.51 "
31827	13999	" $4,601.16 "
31828	20885	" $8,307.43 "
31829	13343	" $4,817.30 "
31830	34439	" $12,216.56 "
31831	8166	" $4,938.58 "
31832	5781	" $5,170.15 "
31833	26704	" $11,089.16 "
31834	26954	" $9,375.98 "
31835	23671	" $11,000.41 "
31836	23531	" $8,217.43 "
31837	8690	" $5,574.44 "
31838	21185	" $7,918.39 "
31839	7016	" $4,019.94 "
31840	13288	" $6,162.65 "
31841	5665	" $5,529.88 "
31842	13215	" $6,586.31 "
31843	4582	" $3,901.09 "
31844	39536	" $11,801.22 "
31845	11144	" $1,182.57 "
31846	14379	" $7,005.15 "
31847	14677	" $2,929.64 "
31848	14211	" $5,839.92 "
31849	101686	" $26,338.24 "
31850	8932	" $4,986.21 "
31851	9987	" $2,460.64 "
31852	4718	" $3,265.21 "
31853	8754	" $5,250.29 "
31854	14832	" $8,149.78 "
31855	8097	" $3,965.62 "
31856	11586	" $4,906.84 "
31857	7058	" $4,110.13 "
31858	38184	" $11,569.20 "
31859	3653	" $3,801.36 "
31860	7526	" $5,945.39 "
31861	29631	" $9,825.94 "
31862	3171	 $891.93 
31863	12641	" $5,735.85 "
31864	2245	" $2,809.07 "
31865	32257	" $11,896.55 "
31866	40355	" $8,747.06 "
31867	11834	" $3,321.87 "
31868	14365	" $6,575.87 "
31869	16407	" $7,799.79 "
31870	9032	" $4,757.64 "
31871	20349	" $7,438.20 "
31872	11611	" $6,021.23 "
31873	6402	" $2,208.11 "
31874	4853	" $2,073.55 "
31875	35360	" $10,770.18 "
31876	19542	" $7,049.18 "
31877	7093	" $3,224.18 "
31878	6031	" $1,924.95 "
31879	9582	" $3,287.99 "
31880	29817	" $7,565.09 "
31881	12273	" $5,536.54 "
31882	12535	" $3,962.32 "
31883	9219	" $1,104.57 "
31884	21581	" $6,831.63 "
31885	17073	" $5,310.10 "
31886	3982	" $2,436.67 "
31887	22548	" $9,348.46 "
31888	6015	 $396.14 
31889	18294	" $6,319.59 "
31890	18468	" $6,449.57 "
31891	26033	" $8,524.68 "
31892	81302	" $21,174.60 "
31893	7880	" $2,794.14 "
31894	127213	" $33,763.32 "
31895	8264	 $76.95 
31896	18954	" $2,569.45 "
31897	11682	 $481.06 
31898	14405	" $5,935.90 "
31899	17931	" $6,060.41 "
31900	5440	" $2,397.14 "
31901	70691	" $18,962.59 "
31902	80997	" $22,448.60 "
31903	10031	" $3,672.09 "
31904	6877	" $4,926.70 "
31905	9394	" $2,604.50 "
31906	30740	" $10,691.96 "
31907	14137	" $4,652.94 "
31908	3235	" $4,404.79 "
31909	58553	" $15,294.16 "
31910	9982	" $2,260.05 "
31911	19384	" $8,078.17 "
31912	30843	" $10,668.81 "
31913	27291	" $8,121.56 "
31914	19614	" $5,897.76 "
31915	12166	" $3,898.07 "
31916	22387	" $6,955.18 "
31917	13323	" $5,332.14 "
31918	8393	" $4,029.58 "
31919	7733	" $5,784.97 "
31920	14725	" $8,193.07 "
31921	5302	" $2,050.22 "
31922	5545	" $4,484.15 "
31923	6829	" $2,980.73 "
31924	7951	" $3,260.29 "
31925	15738	" $4,526.97 "
31926	55025	" $16,399.58 "
31927	20848	" $5,811.42 "
31928	6276	 $125.40 
31929	13026	" $4,722.09 "
31930	38707	" $14,292.36 "
31931	45621	" $13,563.63 "
31932	11014	" $4,507.11 "
31933	32107	" $11,304.15 "
31934	8276	" $7,162.45 "
31935	11059	" $4,710.51 "
31936	14236	" $8,643.40 "
31937	6622	" $6,093.92 "
31938	16479	" $6,347.27 "
31939	6681	" $3,916.01 "
31940	11609	" $2,882.62 "
31941	1543	" $2,488.86 "
31942	10792	" $4,288.81 "
31943	40608	" $12,367.79 "
31944	2945	 $158.24 
31945	4878	" $4,870.98 "
31946	9179	" $4,497.71 "
31947	20905	" $6,706.06 "
31948	29437	" $9,498.59 "
31949	9187	" $5,852.82 "
31950	5101	" $2,901.45 "
31951	4885	" $4,854.41 "
31952	15543	" $6,652.20 "
31953	11874	" $5,973.97 "
31954	84720	" $24,984.13 "
31955	14708	" $5,508.08 "
31956	5285	" $2,527.87 "
31957	4564	" $1,517.07 "
31958	8865	" $3,649.40 "
31959	52106	" $17,816.51 "
31960	47231	" $13,488.73 "
31961	14142	" $3,877.55 "
31962	4112	" $3,416.25 "
31963	24200	" $9,991.41 "
31964	48364	" $15,038.98 "
31965	18065	" $3,915.94 "
31966	13740	" $4,178.12 "
31967	5082	" $5,330.58 "
31968	102391	" $23,628.45 "
31969	15878	" $6,988.21 "
31970	9393	" $5,200.40 "
31971	14628	" $5,786.99 "
31972	18933	" $5,691.44 "
31973	13383	" $4,925.78 "
31974	12265	" $6,169.86 "
31975	16362	" $7,585.03 "
31976	5093	" $2,781.42 "
31977	6621	" $3,345.16 "
31978	10482	" $2,527.66 "
31979	16710	" $6,150.46 "
31980	16614	" $6,504.87 "
31981	35427	" $9,115.22 "
31982	7694	" $4,483.63 "
31983	16569	" $6,826.91 "
31984	40748	" $12,503.86 "
31985	4439	" $2,743.02 "
31986	2441	" $4,320.11 "
31987	20106	" $6,220.25 "
31988	9383	" $4,415.22 "
31989	1536	" $1,197.20 "
31990	34297	" $11,954.21 "
31991	25389	" $9,004.10 "
31992	12469	" $3,880.11 "
31993	67954	" $23,016.93 "
31994	25460	" $7,442.85 "
31995	24745	" $7,708.19 "
31996	24666	" $10,129.75 "
31997	7365	" $2,296.83 "
31998	5220	" $4,354.14 "
31999	96153	" $26,409.16 "
32000	4333	" $2,932.47 "
32001	26151	" $7,330.52 "
32002	2125	" $2,154.71 "
32003	11888	" $5,361.23 "
32004	12304	" $4,081.53 "
32005	9993	" $3,137.04 "
32006	12254	" $3,998.54 "
32007	10241	" $5,459.23 "
32008	14396	" $6,582.33 "
32009	19134	" $7,184.09 "
32010	33664	" $10,550.22 "
32011	39517	" $11,916.52 "
32012	10835	" $2,187.63 "
32013	8689	" $4,305.08 "
32014	18597	" $7,184.36 "
32015	7286	" $2,524.41 "
32016	13492	" $7,395.88 "
32017	12823	" $5,215.44 "
32018	4508	" $4,528.73 "
32019	68594	" $16,625.49 "
32020	40396	" $14,911.07 "
32021	10106	" $5,030.98 "
32022	40194	" $11,413.30 "
32023	15598	" $6,049.54 "
32024	13188	" $4,836.89 "
32025	6808	" $3,264.52 "
32026	18347	" $6,814.47 "
32027	19388	" $6,716.19 "
32028	20711	" $7,917.46 "
32029	12818	" $5,449.47 "
32030	64466	" $15,494.89 "
32031	42439	" $13,791.38 "
32032	8431	" $1,732.28 "
32033	15929	" $4,238.58 "
32034	5422	" $4,555.40 "
32035	28941	" $9,413.23 "
32036	17274	" $7,633.90 "
32037	29699	" $9,164.52 "
32038	9506	" $6,997.75 "
32039	61656	" $16,141.74 "
32040	7318	" $4,633.31 "
32041	18248	" $6,770.06 "
32042	12859	" $5,832.91 "
32043	7918	" $2,623.21 "
32044	17644	" $7,232.87 "
32045	15251	" $6,443.16 "
32046	6411	" $1,929.47 "
32047	12490	" $4,354.50 "
32048	19149	" $6,844.44 "
32049	2886	" $1,236.59 "
32050	28005	" $6,887.07 "
32051	4519	" $4,320.74 "
32052	14184	" $2,708.72 "
32053	12689	" $3,388.91 "
32054	23429	" $9,278.33 "
32055	15187	" $3,167.83 "
32056	21199	" $8,527.28 "
32057	7418	" $4,442.11 "
32058	10259	" $5,035.10 "
32059	30030	" $11,423.19 "
32060	21160	" $7,026.75 "
32061	18032	" $7,824.91 "
32062	13569	" $3,852.47 "
32063	12597	" $5,748.99 "
32064	3113	" $1,292.81 "
32065	51554	" $14,975.68 "
32066	10513	" $4,500.84 "
32067	14562	" $5,448.43 "
32068	7603	" $1,440.84 "
32069	33598	" $11,077.06 "
32070	10343	" $4,244.71 "
32071	12284	" $6,274.79 "
32072	17866	" $10,013.68 "
32073	17829	" $6,638.11 "
32074	13651	" $3,678.13 "
32075	9153	" $3,367.18 "
32076	5088	" $2,519.42 "
32077	10447	" $3,654.16 "
32078	6294	" $6,943.28 "
32079	12401	" $3,281.22 "
32080	11039	" $4,291.29 "
32081	14490	" $6,149.89 "
32082	7480	" $1,530.48 "
32083	7965	" $5,134.32 "
32084	21003	" $9,142.15 "
32085	12781	" $4,431.22 "
32086	3730	" $4,389.88 "
32087	14470	" $5,763.98 "
32088	7027	" $5,323.97 "
32089	12326	" $7,296.26 "
32090	13242	" $7,585.21 "
32091	2531	" $2,510.89 "
32092	17189	" $5,949.98 "
32093	18421	" $8,042.40 "
32094	5657	" $3,641.75 "
32095	1249	" $3,033.16 "
32096	9640	" $1,809.56 "
32097	25459	" $6,017.84 "
32098	2185	" $1,433.90 "
32099	6979	" $2,475.63 "
32100	8259	" $3,919.86 "
32101	6718	" $3,060.96 "
32102	19511	" $4,540.61 "
32103	3035	" $3,300.15 "
32104	3435	" $3,740.69 "
32105	9569	" $3,404.36 "
32106	15525	" $6,279.36 "
32107	26668	" $8,512.65 "
32108	12343	" $2,877.96 "
32109	9630	" $4,248.19 "
32110	10623	" $3,626.56 "
32111	13901	" $6,369.84 "
32112	9677	" $4,144.18 "
32113	8690	" $2,177.95 "
32114	8841	" $6,156.47 "
32115	45719	" $12,959.76 "
32116	74422	" $21,759.91 "
32117	14326	" $3,981.73 "
32118	17061	" $5,472.90 "
32119	61212	" $18,629.17 "
32120	15970	" $4,620.47 "
32121	23259	" $6,113.02 "
32122	4604	" $3,223.91 "
32123	27842	" $8,476.68 "
32124	4247	" $3,187.14 "
32125	13024	" $2,718.64 "
32126	13798	" $5,286.26 "
32127	13911	" $7,737.46 "
32128	16603	" $5,638.48 "
32129	10786	" $6,635.55 "
32130	15193	" $6,009.84 "
32131	12977	" $4,588.72 "
32132	20487	" $7,132.54 "
32133	15846	" $7,261.48 "
32134	10278	" $4,332.41 "
32135	3009	" $1,649.66 "
32136	28266	" $7,858.18 "
32137	11075	" $5,864.20 "
32138	19106	" $5,513.01 "
32139	15163	" $6,057.89 "
32140	13780	" $4,102.98 "
32141	6690	" $3,650.42 "
32142	8083	" $3,668.77 "
32143	62950	" $19,433.62 "
32144	11640	" $4,531.21 "
32145	11648	" $4,681.94 "
32146	10640	" $5,075.74 "
32147	38063	" $11,734.08 "
32148	13767	" $6,040.53 "
32149	16926	" $6,080.45 "
32150	7149	" $1,998.29 "
32151	7035	" $4,038.34 "
32152	6638	" $1,384.41 "
32153	13503	" $4,567.09 "
32154	18060	" $7,831.73 "
32155	13135	" $6,788.53 "
32156	9313	" $4,126.08 "
32157	17145	" $6,820.66 "
32158	13202	" $7,201.02 "
32159	9707	" $6,245.23 "
32160	12114	" $6,885.81 "
32161	15392	" $5,161.02 "
32162	5753	" $3,715.83 "
32163	66579	" $16,279.81 "
32164	23234	" $7,360.94 "
32165	12002	" $5,607.45 "
32166	3998	" $2,768.37 "
32167	15990	" $5,383.95 "
32168	6167	" $5,268.51 "
32169	11232	" $5,629.07 "
32170	29270	" $8,302.37 "
32171	14948	" $3,529.09 "
32172	8901	" $4,920.41 "
32173	19570	" $5,384.11 "
32174	25717	" $4,666.88 "
32175	27766	" $4,611.70 "
32176	14003	" $5,092.27 "
32177	7741	" $3,915.65 "
32178	13044	" $5,484.12 "
32179	13177	" $5,522.48 "
32180	27254	" $8,129.32 "
32181	6988	" $2,785.08 "
32182	30169	" $9,062.83 "
32183	21023	" $7,550.14 "
32184	18678	" $4,705.19 "
32185	11777	" $6,546.67 "
32186	16173	" $6,586.50 "
32187	19472	" $9,259.38 "
32188	15860	" $5,718.80 "
32189	26450	" $8,169.66 "
32190	2264	" $1,597.37 "
32191	13291	" $4,171.76 "
32192	17363	" $3,892.69 "
32193	9153	" $5,186.20 "
32194	4176	" $1,989.00 "
32195	5993	" $2,690.97 "
32196	15683	" $6,645.25 "
32197	12152	" $7,164.90 "
32198	133526	" $34,656.78 "
32199	8530	" $6,215.47 "
32200	17690	" $5,121.92 "
32201	39975	" $14,154.45 "
32202	32711	" $10,792.20 "
32203	15867	" $7,006.91 "
32204	30581	" $7,372.82 "
32205	72285	" $19,557.58 "
32206	36142	" $9,680.18 "
32207	83271	" $22,679.22 "
32208	13246	" $8,615.74 "
32209	4931	" $3,885.63 "
32210	35813	" $11,506.29 "
32211	5345	" $3,652.25 "
32212	11959	" $5,506.60 "
32213	11852	" $4,850.42 "
32214	22541	" $10,973.22 "
32215	5992	" $2,854.78 "
32216	28854	" $9,370.18 "
32217	20684	" $9,177.07 "
32218	13948	" $6,903.79 "
32219	29670	" $9,489.65 "
32220	21923	" $5,712.92 "
32221	9661	" $4,465.41 "
32222	6707	" $2,258.50 "
32223	11805	" $3,055.50 "
32224	33332	" $9,006.88 "
32225	23078	" $6,095.63 "
32226	24420	" $10,650.50 "
32227	3106	" $3,484.64 "
32228	14280	" $5,206.55 "
32229	8260	" $6,034.81 "
32230	4160	" $3,270.90 "
32231	23860	" $9,840.78 "
32232	58111	" $16,580.01 "
32233	12495	" $5,310.40 "
32234	2984	" $2,889.04 "
32235	16080	" $6,100.59 "
32236	56615	" $13,361.41 "
32237	6097	" $1,366.21 "
32238	17055	" $7,647.77 "
32239	6103	" $6,638.12 "
32240	23481	" $6,535.28 "
32241	27737	" $10,764.87 "
32242	13222	" $4,822.78 "
32243	17055	" $3,587.46 "
32244	5055	" $3,392.55 "
32245	26403	" $8,051.49 "
32246	12819	" $1,674.92 "
32247	14186	" $7,776.67 "
32248	5238	" $3,214.66 "
32249	9027	" $3,928.22 "
32250	7848	" $2,177.83 "
32251	9180	" $3,219.56 "
32252	8024	" $3,792.52 "
32253	8927	" $5,265.36 "
32254	4306	" $6,192.65 "
32255	17135	" $7,406.19 "
32256	38222	" $10,675.07 "
32257	23746	" $6,076.62 "
32258	18251	" $6,257.98 "
32259	63589	" $15,293.11 "
32260	12246	" $6,906.31 "
32261	14757	" $4,421.35 "
32262	9862	" $5,635.73 "
32263	17083	" $7,632.35 "
32264	734	" $1,826.18 "
32265	12549	" $6,370.41 "
32266	12508	" $4,501.24 "
32267	34604	" $12,124.03 "
32268	7888	" $2,204.62 "
32269	17177	" $7,337.05 "
32270	8377	" $2,864.64 "
32271	14518	" $5,756.75 "
32272	11705	" $2,332.72 "
32273	7618	" $3,242.46 "
32274	16610	" $6,655.78 "
32275	27829	" $10,667.13 "
32276	35232	" $9,911.75 "
32277	2562	" $4,320.18 "
